canto,stanza_num,stanza_lines,stanza_chars,line,line_num,line_chars
Canto I,2,42,1533,Que o peito acende e a cor ao gesto muda;,13,41
Canto I,2,42,1533,Dai-me igual canto aos feitos da famosa,14,39
Canto I,2,42,1533,"Gente vossa, que a Marte tanto ajuda;",15,37
Canto I,2,42,1533,"Que se espalhe e se cante no universo,",16,38
Canto I,2,42,1533,Se tão sublime preço cabe em verso.,17,35
Canto I,2,42,1533,"E, vós, ó bem nascida segurança",18,31
Canto I,2,42,1533,"Da Lusitana antiga liberdade,",19,29
Canto I,2,42,1533,E não menos certíssima esperança,20,32
Canto I,2,42,1533,De aumento da pequena Cristandade;,21,34
Canto I,2,42,1533,"Vós, ó novo temor da Maura lança,",22,33
Canto I,2,42,1533,"Maravilha fatal da nossa idade,",23,31
Canto I,2,42,1533,"Dada ao mundo por Deus, que todo o mande,",24,41
Canto I,2,42,1533,Pera do mundo a Deus dar parte grande;,25,38
Canto I,2,42,1533,"Vós, tenro e novo ramo florecente",26,33
Canto I,2,42,1533,"De üa árvore, de Cristo mais amada",27,34
Canto I,2,42,1533,"Que nenhü a nascida no Ocidente,",28,32
Canto I,2,42,1533,Cesárea ou Cristianíssima chamada,29,33
Canto I,2,42,1533,"(Vede-o no vosso escudo, que presente",30,37
Canto I,2,42,1533,"Vos amostra a vitória já passada,",31,33
Canto I,2,42,1533,Na qual vos deu por armas e deixou,32,34
Canto I,2,42,1533,As que Ele pera si na Cruz tomou);,33,34
Canto I,2,42,1533,"Vós, poderoso Rei, cujo alto Império",34,36
Canto I,2,42,1533,"O Sol, logo em nascendo, vê primeiro,",35,37
Canto I,2,42,1533,"Vê-o também no meio do Hemisfério,",36,34
Canto I,2,42,1533,E quando dece o deixa derradeiro;,37,33
Canto I,2,42,1533,"Vós, que esperamos jugo e vitupério",38,35
Canto I,2,42,1533,"Do torpe Ismaelita cavaleiro,",39,29
Canto I,2,42,1533,Do Turco Oriental e do Gentio,40,29
Canto I,2,42,1533,Que inda bebe o licor do santo Rio:,41,35
Canto I,2,42,1533,Inclinei por um pouco a majestade,42,33
Canto I,3,45,1677,"Que nesse tenro gesto vos contemplo,",1,36
Canto I,3,45,1677,"Que já se mostra qual na inteira idade,",2,39
Canto I,3,45,1677,Quando subindo ireis ao eterno templo;,3,38
Canto I,3,45,1677,Os olhos da real benignidade,4,28
Canto I,3,45,1677,Ponde no chão: vereis um novo exemplo,5,37
Canto I,3,45,1677,"De amor dos pátrios feitos valerosos,",6,37
Canto I,3,45,1677,Em versos divulgado numerosos.,7,30
Canto I,3,45,1677,"Vereis amor da pátria, não movido",8,33
Canto I,3,45,1677,"De prémio vil, mas alto e quási eterno;",9,39
Canto I,3,45,1677,Que não é prémio vil ser conhecido,10,34
Canto I,3,45,1677,Por um pregão do ninho meu paterno.,11,35
Canto I,3,45,1677,Ouvi: vereis o nome engrandecido,12,32
Canto I,3,45,1677,"Daqueles de quem sois senhor superno,",13,37
Canto I,3,45,1677,"E julgareis qual é mais excelente,",14,34
Canto I,3,45,1677,"Se ser do mundo Rei, se de tal gente.",15,37
Canto I,3,45,1677,"Ouvi, que não vereis com vãs façanhas,",16,38
Canto I,3,45,1677,"Fantásticas, fingidas, mentirosas,",17,34
Canto I,3,45,1677,"Louvar os vossos, como nas estranhas",18,36
Canto I,3,45,1677,"Musas, de engrandecer-se desejosas:",19,35
Canto I,3,45,1677,As verdadeiras vossas são tamanhas,20,34
Canto I,3,45,1677,"Que excedem as sonhadas, fabulosas,",21,35
Canto I,3,45,1677,Que excedem Rodamonte e o vão Rugeiro,22,37
Canto I,3,45,1677,"E Orlando, inda que fora verdadeiro.",23,36
Canto I,3,45,1677,"Por estes vos darei um Nuno fero,",24,33
Canto I,3,45,1677,"Que fez ao Rei e ao Reino tal serviço,",25,38
Canto I,3,45,1677,"Um Egas e um Dom Fuas, que de Homero",26,36
Canto I,3,45,1677,A cítara par'eles só cobiço;,27,28
Canto I,3,45,1677,Pois polos Doze Pares dar-vos quero,28,35
Canto I,3,45,1677,Os Doze de Inglaterra e o seu Magriço;,29,38
Canto I,3,45,1677,"Dou-vos também aquele ilustre Gama,",30,35
Canto I,3,45,1677,Que para si de Eneias toma a fama.,31,34
Canto I,3,45,1677,"Pois se a troco de (Carlos, Rei de França,",32,42
Canto I,3,45,1677,"Ou de César, quereis igual memória,",33,35
Canto I,3,45,1677,"Vede o primeiro Afonso, cuja lança",34,34
Canto I,3,45,1677,Escura faz qualquer estranha glória;,35,36
Canto I,3,45,1677,E aquele que a seu Reino a segurança,36,36
Canto I,3,45,1677,"Deixou, com a grande e próspera vitória;",37,40
Canto I,3,45,1677,"Outro Joane, invicto cavaleiro;",38,31
Canto I,3,45,1677,O quarto e quinto Afonsos e o terceiro.,39,39
Canto I,3,45,1677,Nem deixarão meus versos esquecidos,40,35
Canto I,3,45,1677,Aqueles que nos Reinos lá da Aurora,41,35
Canto I,3,45,1677,"Se fizeram por armas tão subidos,",42,33
Canto I,3,45,1677,Vossa bandeira sempre vencedora:,43,32
Canto I,3,45,1677,Um Pacheco fortíssimo e os temidos,44,34
Canto I,3,45,1677,"Almeidas, por quem sempre o Tejo chora,",45,39
Canto I,4,43,1571,"Albuquerque terríbil, Castro forte,",1,35
Canto I,4,43,1571,E outros em quem poder não teve a morte.,2,40
Canto I,4,43,1571,"E, enquanto eu estes canto - e a vós não posso,",3,47
Canto I,4,43,1571,"Sublime Rei, que não me atrevo a tanto - ,",4,42
Canto I,4,43,1571,Tomai as rédeas vós do Reino vosso:,5,35
Canto I,4,43,1571,Dareis matéria a nunca ouvido canto.,6,36
Canto I,4,43,1571,Comecem a sentir o peso grosso,7,30
Canto I,4,43,1571,(Que polo mundo todo faça espanto),8,34
Canto I,4,43,1571,"De exércitos e feitos singulares,",9,33
Canto I,4,43,1571,De África as terras e do Oriente os mares.,10,42
Canto I,4,43,1571,"Em vós os olhos tem o Mouro frio,",11,33
Canto I,4,43,1571,Em quem vê seu exício afigurado;,12,32
Canto I,4,43,1571,"Só com vos ver, o bárbaro Gentio",13,32
Canto I,4,43,1571,Mostra o pescoço ao jugo já inclinado;,14,38
Canto I,4,43,1571,Tétis todo o cerúleo senhorio,15,29
Canto I,4,43,1571,"Tem pera vós por dote aparelhado,",16,33
Canto I,4,43,1571,"Que, afeiçoada ao gesto belo e tento,",17,37
Canto I,4,43,1571,Deseja de comprar-vos pera genro.,18,33
Canto I,4,43,1571,"Em vós se vêm, da Olímpica morada,",19,34
Canto I,4,43,1571,Dos dous avós as almas cá famosas;,20,34
Canto I,4,43,1571,"üa, na paz angélica dourada,",21,28
Canto I,4,43,1571,"Outra, pelas batalhas sanguinosas.",22,34
Canto I,4,43,1571,Em vós esperam ver-se renovada,23,30
Canto I,4,43,1571,Sua memória e obras valerosas;,24,30
Canto I,4,43,1571,"E lá vos têm lugar, no fim da idade,",25,36
Canto I,4,43,1571,No templo da suprema Eternidade.,26,32
Canto I,4,43,1571,"Mas, enquanto este tempo passa lento",27,36
Canto I,4,43,1571,"De regerdes os povos, que o desejam,",28,36
Canto I,4,43,1571,"Dai vós favor ao novo atrevimento,",29,34
Canto I,4,43,1571,"Pera que estes meus versos vossos sejam,",30,40
Canto I,4,43,1571,E vereis ir cortando o salso argento,31,36
Canto I,4,43,1571,"Os vossos Argonautas, por que vejam",32,35
Canto I,4,43,1571,"Que são vistos de vós no mar irado,",33,35
Canto I,4,43,1571,E costumai-vos já a ser invocado.,34,33
Canto I,4,43,1571,"Já no largo Oceano navegavam,",35,29
Canto I,4,43,1571,As inquietas ondas apartando;,36,29
Canto I,4,43,1571,"Os ventos brandamente respiravam,",37,33
Canto I,4,43,1571,Das naus as velas côncavas inchando;,38,36
Canto I,4,43,1571,Da branca escuma os mares se mostravam,39,38
Canto I,4,43,1571,"Cobertos, onde as proas vão cortando",40,36
Canto I,4,43,1571,"As marítimas águas consagradas,",41,31
Canto I,4,43,1571,"Que do gado de Próteu são cortadas,",42,35
Canto I,4,43,1571,"Quando os Deuses no Olimpo luminoso,",43,36
Canto I,5,44,1613,"Onde o governo está da humana gente,",1,36
Canto I,5,44,1613,"Se ajuntam em consílio glorioso,",2,32
Canto I,5,44,1613,Sobre as cousas futuras do Oriente.,3,35
Canto I,5,44,1613,"Pisando o cristalino Céu fermoso,",4,33
Canto I,5,44,1613,"Vêm pela Via Láctea juntamente,",5,31
Canto I,5,44,1613,"Convocados, da parte de Tonante,",6,32
Canto I,5,44,1613,Pelo neto gentil do velho Atlante.,7,34
Canto I,5,44,1613,"Deixam dos sete Céus o regimento,",8,33
Canto I,5,44,1613,"Que do poder mais alto lhe foi dado,",9,36
Canto I,5,44,1613,"Alto poder, que só co pensamento",10,32
Canto I,5,44,1613,"Governa o Céu, a Terra e o Mar irado.",11,37
Canto I,5,44,1613,Ali se acharam juntos num momento,12,33
Canto I,5,44,1613,Os que habitam o Arcturo congelado,13,34
Canto I,5,44,1613,E os que o Austro têm e as partes onde,14,38
Canto I,5,44,1613,A Aurora nasce e o claro Sol se esconde.,15,40
Canto I,5,44,1613,"Estava o Padre ali, sublime e dino,",16,35
Canto I,5,44,1613,"Que vibra os feros raios de Vulcano,",17,36
Canto I,5,44,1613,"Num assento de estrelas cristalino,",18,35
Canto I,5,44,1613,"Com gesto alto, severo e soberano;",19,34
Canto I,5,44,1613,"Do rosto respirava um ar divino,",20,32
Canto I,5,44,1613,Que divino tornara um corpo humano:,21,35
Canto I,5,44,1613,"Com üa coroa e ceptro rutilante,",22,32
Canto I,5,44,1613,De outra pedra mais clara que diamante.,23,39
Canto I,5,44,1613,"Em luzentes assentos, marchetados",24,33
Canto I,5,44,1613,"De ouro e de perlas, mais abaixo estavam",25,40
Canto I,5,44,1613,"Os outros Deuses, todos assentados",26,34
Canto I,5,44,1613,Como a Razão e a Ordem concertavam,27,34
Canto I,5,44,1613,"(Precedem os antigos, mais honrados,",28,36
Canto I,5,44,1613,Mais abaixo os menores se assentavam);,29,38
Canto I,5,44,1613,"Quando Júpiter alto, assi dizendo,",30,34
Canto I,5,44,1613,Cum tom de voz começa grave e horrendo:,31,39
Canto I,5,44,1613,"- «Eternos moradores do luzente,",32,32
Canto I,5,44,1613,Estelífero Pólo e claro Assento:,33,32
Canto I,5,44,1613,Se do grande valor da forte gente,34,33
Canto I,5,44,1613,"De Luso não perdeis o pensamento,",35,33
Canto I,5,44,1613,Deveis de ter sabido claramente,36,31
Canto I,5,44,1613,Como é dos Fados grandes certo intento,37,38
Canto I,5,44,1613,Que por ela se esqueçam os humanos,38,34
Canto I,5,44,1613,"De Assírios, Persas, Gregos e Romanos.",39,38
Canto I,5,44,1613,"«Já lhe foi (bem o vistes) concedido,",40,37
Canto I,5,44,1613,"Cum poder tão singelo e ao pequeno,",41,35
Canto I,5,44,1613,Tomar ao Mouro forte e guarnecido,42,33
Canto I,5,44,1613,Toda a terra que rega o Tejo ameno.,43,35
Canto I,5,44,1613,Pois contra o Castelhano ao temido,44,34
Canto I,6,43,1552,Sempre alcançou favor do Céu sereno:,1,36
Canto I,6,43,1552,"Assi que sempre, enfim, com fama e glória.",2,42
Canto I,6,43,1552,Teve os troféus pendentes da vitória.,3,37
Canto I,6,43,1552,"«Deixo, Deuses, atrás a fama antiga,",4,36
Canto I,6,43,1552,"Que co a gente de Rómulo alcançaram,",5,36
Canto I,6,43,1552,"Quando com Viriato, na inimiga",6,30
Canto I,6,43,1552,"Guerra Romana, tanto se afamaram;",7,33
Canto I,6,43,1552,Também deixo a memória que os obriga,8,36
Canto I,6,43,1552,"A grande nome, quando alevantaram",9,33
Canto I,6,43,1552,"Um por seu capitão, que, peregrino,",10,35
Canto I,6,43,1552,Fingiu na cerva espírito divino.,11,32
Canto I,6,43,1552,"«Agora vedes bem que, cometendo",12,31
Canto I,6,43,1552,"O duvidoso mar num lenho leve,",13,30
Canto I,6,43,1552,"Por vias nunca usadas, não temendo",14,34
Canto I,6,43,1552,"de Áfrico e Noto a força, a mais s'atreve:",15,42
Canto I,6,43,1552,"Que, havendo tanto já que as partes vendo",16,41
Canto I,6,43,1552,"Onde o dia é comprido e onde breve,",17,35
Canto I,6,43,1552,Inclinam seu propósito e perfia,18,31
Canto I,6,43,1552,A ver os berços onde nasce o dia.,19,33
Canto I,6,43,1552,"«Prometido lhe está do Fado eterno,",20,35
Canto I,6,43,1552,"Cuja alta lei não pode ser quebrada,",21,36
Canto I,6,43,1552,Que tenham longos tempos o governo,22,34
Canto I,6,43,1552,Do mar que vê do Sol a roxa entrada.,23,36
Canto I,6,43,1552,Nas águas têm passado o duro Inverno;,24,37
Canto I,6,43,1552,A gente vem perdida e trabalhada;,25,33
Canto I,6,43,1552,Já parece bem feito que lhe seja,26,32
Canto I,6,43,1552,Mostrada a nova terra que deseja.,27,33
Canto I,6,43,1552,"«E porque, como vistes, têm passados",28,36
Canto I,6,43,1552,"Na viagem tão ásperos perigos,",29,30
Canto I,6,43,1552,"Tantos climas e céus exprimentados,",30,35
Canto I,6,43,1552,"Tanto furor de ventos inimigos,",31,31
Canto I,6,43,1552,"Que sejam, determino, agasalhados",32,33
Canto I,6,43,1552,Nesta costa Africana como amigos;,33,33
Canto I,6,43,1552,"E, tendo guarnecida a lassa frota,",34,34
Canto I,6,43,1552,Tornarão a seguir sua longa rota.,35,33
Canto I,6,43,1552,"Estas palavras Júpiter dizia,",36,29
Canto I,6,43,1552,"Quando os Deuses, por ordem respondendo,",37,40
Canto I,6,43,1552,"Na sentença um do outro diferia,",38,32
Canto I,6,43,1552,Razões diversas dando e recebendo.,39,34
Canto I,6,43,1552,O padre Baco ali não consentia,40,30
Canto I,6,43,1552,"No que Júpiter disse, conhecendo",41,32
Canto I,6,43,1552,Que esquecerão seus feitos no Oriente,42,37
Canto I,6,43,1552,Se lá passar a Lusitana gente.,43,30
Canto I,7,43,1545,Ouvido tinha aos Fados que viria,1,32
Canto I,7,43,1545,üa gente fortíssima de Espanha,2,30
Canto I,7,43,1545,"Pelo mar alto, a qual sujeitaria",3,32
Canto I,7,43,1545,"Da Índia tudo quanto Dóris banha,",4,33
Canto I,7,43,1545,E com novas vitórias venceria,5,29
Canto I,7,43,1545,"A fama antiga, ou sua ou fosse estranha.",6,40
Canto I,7,43,1545,Altamente lhe dói perder a glória,7,33
Canto I,7,43,1545,De que Nisa celebra inda a memória.,8,35
Canto I,7,43,1545,Vê que já teve o Indo sojugado,9,30
Canto I,7,43,1545,E nunca lhe tirou Fortuna ou caso,10,33
Canto I,7,43,1545,Por vencedor da Índia ser cantado,11,33
Canto I,7,43,1545,De quantos bebem a água de Parnaso.,12,35
Canto I,7,43,1545,Teme agora que seja sepultado,13,29
Canto I,7,43,1545,Seu tão célebre nome em negro vaso,14,34
Canto I,7,43,1545,"D'água do esquecimento, se lá chegam",15,36
Canto I,7,43,1545,Os fortes Portugueses que navegam.,16,34
Canto I,7,43,1545,"Sustentava contra ele Vénus bela,",17,33
Canto I,7,43,1545,Afeiçoada à gente Lusitana,18,26
Canto I,7,43,1545,Por quantas qualidades via nela,19,31
Canto I,7,43,1545,"Da antiga, tão amada, sua Romana;",20,33
Canto I,7,43,1545,"Nos fortes corações, na grande estrela",21,38
Canto I,7,43,1545,"Que mostraram na terra Tingitana,",22,33
Canto I,7,43,1545,"E na língua, na qual quando imagina,",23,36
Canto I,7,43,1545,Com pouca corrupção crê que é a Latina,24,38
Canto I,7,43,1545,Estas causas moviam Citereia,25,28
Canto I,7,43,1545,"E mais, porque das Parcas claro entende",26,39
Canto I,7,43,1545,Que há-de ser celebrada a clara Deia,27,36
Canto I,7,43,1545,Onde a gente belígera se estende.,28,33
Canto I,7,43,1545,"Assi que, um, pela infâmia que arreceia,",29,40
Canto I,7,43,1545,"E o outro, pelas honras que pretende,",30,37
Canto I,7,43,1545,"Debatem, e na perfia permanecem;",31,32
Canto I,7,43,1545,A qualquer seus amigos favorecem.,32,33
Canto I,7,43,1545,Qual Austro fero ou Bóreas na espessura,33,39
Canto I,7,43,1545,"De silvestre arvoredo abastecida,",34,33
Canto I,7,43,1545,Rompendo os ramos vão da mata escura,35,36
Canto I,7,43,1545,"Com ímpeto e braveza desmedida,",36,31
Canto I,7,43,1545,"Brama toda montanha, o som murmura,",37,35
Canto I,7,43,1545,"Rompem-se as folhas, ferve a serra erguida:",38,43
Canto I,7,43,1545,"Tal andava o tumulto, levantado",39,31
Canto I,7,43,1545,"Entre os Deuses, no Olimpo consagrado.",40,38
Canto I,7,43,1545,"Mas Marte, que da Deusa sustentava",41,34
Canto I,7,43,1545,"Entre todos as partes em porfia,",42,32
Canto I,7,43,1545,"Ou porque o amor antigo o obrigava,",43,35
Canto I,8,45,1607,"Ou porque a gente forte o merecia,",1,34
Canto I,8,45,1607,De antre os Deuses em pé se levantava:,2,38
Canto I,8,45,1607,Merencório no gesto parecia;,3,28
Canto I,8,45,1607,"O forte escudo, ao colo pendurado,",4,34
Canto I,8,45,1607,"Deitando pera trás, medonho e irado;",5,36
Canto I,8,45,1607,A viseira do elmo de diamante,6,29
Canto I,8,45,1607,"Alevantando um pouco, mui seguro,",7,33
Canto I,8,45,1607,Por dar seu parecer se pôs diante,8,33
Canto I,8,45,1607,"De Júpiter, armado, forte e duro;",9,33
Canto I,8,45,1607,E dando üa pancada penetrante,10,29
Canto I,8,45,1607,"Co conto do bastão no sólio puro,",11,33
Canto I,8,45,1607,"O Céu tremeu, e Apolo, de torvado,",12,34
Canto I,8,45,1607,"Um pouco a luz perdeu, como enfiado;",13,36
Canto I,8,45,1607,"E disse assi:- «Ó Padre, a cujo império",14,39
Canto I,8,45,1607,Tudo aquilo obedece que criaste:,15,32
Canto I,8,45,1607,Se esta gente que busca outro Hemisfério.,16,41
Canto I,8,45,1607,"Cuja valia e obras tanto amaste,",17,32
Canto I,8,45,1607,"Não queres que padeçam vitupério,",18,33
Canto I,8,45,1607,"Como há já tanto tempo que ordenaste,",19,37
Canto I,8,45,1607,"Não ouças mais, pois és juiz direito,",20,37
Canto I,8,45,1607,Razões de quem parece que é suspeito.,21,37
Canto I,8,45,1607,"«Que, se aqui a razão se não mostrasse",22,38
Canto I,8,45,1607,"Vencida do temor demasiado,",23,27
Canto I,8,45,1607,"Bem fora que aqui Baco os sustentasse,",24,38
Canto I,8,45,1607,"Pois que de Luso vêm, seu tão privado;",25,38
Canto I,8,45,1607,"Mas esta tenção sua agora passe,",26,32
Canto I,8,45,1607,Porque enfim vem de estâmago danado;,27,36
Canto I,8,45,1607,Que nunca tirará alheia enveja,28,30
Canto I,8,45,1607,O bem que outrem merece e o Céu deseja.,29,39
Canto I,8,45,1607,"E tu, Padre de grande fortaleza,",30,32
Canto I,8,45,1607,Da determinação que tens tomada,31,31
Canto I,8,45,1607,"Não tornes por detrás, pois é fraqueza",32,38
Canto I,8,45,1607,Desistir-se da cousa começada.,33,30
Canto I,8,45,1607,"Mercúrio, pois excede em ligeireza",34,34
Canto I,8,45,1607,"Ao vento leve e à seta bem talhada,",35,35
Canto I,8,45,1607,Lhe vá mostrar a terra onde se informe,36,38
Canto I,8,45,1607,"Da Índia, e onde a gente se reforme.»",37,37
Canto I,8,45,1607,"Como isto disse, o Padre poderoso,",38,34
Canto I,8,45,1607,"A cabeça inclinando, consentiu",39,30
Canto I,8,45,1607,No que disse Mavorte valeroso,40,29
Canto I,8,45,1607,E néctar sobre todos esparziu.,41,30
Canto I,8,45,1607,Pelo caminho Lácteo glorioso,42,28
Canto I,8,45,1607,"Logo cada um dos Deuses se partiu,",43,34
Canto I,8,45,1607,"Fazendo seus reais acatamentos,",44,31
Canto I,8,45,1607,Pera os determinados apousentos.,45,32
Canto I,9,43,1560,Enquanto isto se passa na fermosa,1,33
Canto I,9,43,1560,"Casa etérea do Olimpo omnipotente,",2,34
Canto I,9,43,1560,Cortava o mar a gente belicosa,3,30
Canto I,9,43,1560,"Já lá da banda do Austro e do Oriente,",4,38
Canto I,9,43,1560,Entre a costa Etiópica e a famosa,5,33
Canto I,9,43,1560,Ilha de São Lourenço; e o Sol ardente,6,37
Canto I,9,43,1560,Queimava então os Deuses que Tifeu,7,34
Canto I,9,43,1560,Co temor grande em pexes converteu.,8,35
Canto I,9,43,1560,Tão brandamente os ventos os levavam,9,36
Canto I,9,43,1560,Como quem o Céu tinha por amigo;,10,32
Canto I,9,43,1560,"Sereno o ar e os tempos se mostravam,",11,37
Canto I,9,43,1560,"Sem nuvens, sem receio de perigo.",12,33
Canto I,9,43,1560,O promontório Prasso já passavam,13,32
Canto I,9,43,1560,"Na costa de Etiópia, nome antigo,",14,33
Canto I,9,43,1560,"Quando o mar, descobrindo, lhe mostrava",15,39
Canto I,9,43,1560,"Novas ilhas, que em torno cerca e lava.",16,39
Canto I,9,43,1560,"Vasco da Gama, o forte Capitão,",17,31
Canto I,9,43,1560,"Que a tamanhas empresas se oferece,",18,35
Canto I,9,43,1560,"De soberbo e de altivo coração,",19,31
Canto I,9,43,1560,"A quem Fortuna sempre favorece,",20,31
Canto I,9,43,1560,"Pera se aqui deter não vê razão,",21,32
Canto I,9,43,1560,Que inabitada a terra lhe parece.,22,33
Canto I,9,43,1560,"Por diante passar determinava,",23,30
Canto I,9,43,1560,Mas não lhe sucedeu como cuidava.,24,33
Canto I,9,43,1560,Eis aparecem logo em companhia,25,30
Canto I,9,43,1560,"Uns pequenos batéis, que vêm daquela",26,36
Canto I,9,43,1560,"Que mais chegada à terra parecia,",27,33
Canto I,9,43,1560,Cortando o longo mar com larga vela.,28,36
Canto I,9,43,1560,"A gente se alvoroça e, de alegria,",29,34
Canto I,9,43,1560,Não sabe mais que olhar a causa dela.,30,37
Canto I,9,43,1560,- «Que gente será esta?» (em si diziam),31,39
Canto I,9,43,1560,"«Que costumes, que Lei, que Rei teriam?»",32,40
Canto I,9,43,1560,As embarcações eram na maneira,33,30
Canto I,9,43,1560,"Mui veloces, estreitas e compridas;",34,35
Canto I,9,43,1560,"Ás velas com que vêm eram de esteira,",35,37
Canto I,9,43,1560,"Düas folhas de palma, bem tecidas;",36,34
Canto I,9,43,1560,A gente da cor era verdadeira,37,29
Canto I,9,43,1560,"Que Fáëton, nas terras acendidas,",38,33
Canto I,9,43,1560,"Ao mundo deu, de ousado e não prudente",39,38
Canto I,9,43,1560,(O Pado o sabe e Lampetusa o sente).,40,36
Canto I,9,43,1560,"De panos de algodão vinham vestidos,",41,36
Canto I,9,43,1560,"De várias cores, brancos e listrados;",42,37
Canto I,9,43,1560,"Uns trazem derredor de si cingidos,",43,35
Canto I,10,45,1637,Outros em modo airoso sobraçados;,1,33
Canto I,10,45,1637,Das cintas pera cima vêm despidos;,2,34
Canto I,10,45,1637,Por armas têm adagas e tarçados;,3,32
Canto I,10,45,1637,"Com toucas na cabeça; e, navegando,",4,35
Canto I,10,45,1637,Anafis sonorosos vão tocando.,5,29
Canto I,10,45,1637,Cos panos e cos braços acenavam,6,31
Canto I,10,45,1637,"Às gentes Lusitanas, que esperassem;",7,36
Canto I,10,45,1637,"Mas já as proas ligeiras se inclinavam,",8,39
Canto I,10,45,1637,Pera que junto às Ilhas amainassem.,9,35
Canto I,10,45,1637,A gente e marinheiros trabalhavam,10,33
Canto I,10,45,1637,Como se aqui os trabalhos s'acabassem:,11,38
Canto I,10,45,1637,"Tomam velas, amaina-se a verga alta,",12,36
Canto I,10,45,1637,Da âncora o mar ferido em cima salta.,13,37
Canto I,10,45,1637,"Não eram ancorados, quando a gente",14,34
Canto I,10,45,1637,Estranha polas cordas já subia.,15,31
Canto I,10,45,1637,"No gesto ledos vêm, e humanamente",16,33
Canto I,10,45,1637,O Capitão sublime os recebia.,17,29
Canto I,10,45,1637,As mesas manda pôr em continente;,18,33
Canto I,10,45,1637,Do licor que Lieu prantado havia,19,32
Canto I,10,45,1637,Enchem vasos de vidro; e do que deitam,20,38
Canto I,10,45,1637,Os de Fáëton queimados nada enjeitam.,21,37
Canto I,10,45,1637,"Comendo alegremente, perguntavam,",22,33
Canto I,10,45,1637,"Pela Arábica língua, donde vinham,",23,34
Canto I,10,45,1637,"Quem eram, de que terra, que buscavam,",24,38
Canto I,10,45,1637,Ou que partes do mar corrido tinham?,25,36
Canto I,10,45,1637,Os fortes Lusitanos lhe tornavam,26,32
Canto I,10,45,1637,As discretas repostas que convinham:,27,36
Canto I,10,45,1637,"- «Os Portugueses somos do Ocidente,",28,36
Canto I,10,45,1637,Imos buscando as terras do Oriente.,29,35
Canto I,10,45,1637,«Do mar temos corrido e navegado,30,32
Canto I,10,45,1637,"Toda a parte do Antártico e Calisto,",31,36
Canto I,10,45,1637,Toda a costa Africana rodeado;,32,30
Canto I,10,45,1637,Diversos céus e terras temos visto;,33,35
Canto I,10,45,1637,"Dum Rei potente somos, tão amado,",34,33
Canto I,10,45,1637,"Tão querido de todos e benquisto,",35,33
Canto I,10,45,1637,"Que não no largo mar, com leda fronte,",36,38
Canto I,10,45,1637,Mas no lago entraremos de Aqueronte.,37,36
Canto I,10,45,1637,"«E, por mandado seu, buscando andamos",38,37
Canto I,10,45,1637,A terra Oriental que o Indo rega;,39,33
Canto I,10,45,1637,"Por ele o mar remoto navegamos,",40,31
Canto I,10,45,1637,Que só dos feios focas se navega.,41,33
Canto I,10,45,1637,Mas já razão parece que saibamos,42,32
Canto I,10,45,1637,"(Se entre vós a verdade não se nega),",43,37
Canto I,10,45,1637,"Quem sois, que terra é esta que habitais,",44,41
Canto I,10,45,1637,Ou se tendes da Índia alguns sinais?»,45,37
